Ticker,Date,Instrument,Total Debt,Total Assets,Leverage
DGE.L,2023-03-31,DGE.L,20082547035,44457972143.7616,0.45171981686569146
DGE.L,2023-06-30,DGE.L,20082547035,44457972143.7616,0.45171981686569146
DGE.L,2023-09-30,DGE.L,21355000000,44883000000.0,0.47579261635808656
DGE.L,2023-12-31,DGE.L,21355000000,44883000000.0,0.47579261635808656
DGE.L,2024-03-31,DGE.L,21355000000,44883000000.0,0.47579261635808656
DGE.L,2024-06-30,DGE.L,21355000000,44883000000.0,0.47579261635808656
DGE.L,2024-09-30,DGE.L,22105000000,45474000000.0,0.4861019483660993
DGE.L,2024-12-31,DGE.L,22105000000,45474000000.0,0.4861019483660993
ABI.BR,2022-03-31,ABI.BR,88830000000,217627000000.0,0.40817545617042
ABI.BR,2022-06-30,ABI.BR,88830000000,217627000000.0,0.40817545617042
ABI.BR,2022-09-30,ABI.BR,88830000000,217627000000.0,0.40817545617042
ABI.BR,2022-12-31,ABI.BR,88830000000,217627000000.0,0.40817545617042
ABI.BR,2023-03-31,ABI.BR,79992000000,212943000000.0,0.37564982178329415
ABI.BR,2023-06-30,ABI.BR,79992000000,212943000000.0,0.37564982178329415
ABI.BR,2023-09-30,ABI.BR,79992000000,212943000000.0,0.37564982178329415
ABI.BR,2023-12-31,ABI.BR,79992000000,212943000000.0,0.37564982178329415
ABI.BR,2024-03-31,ABI.BR,78167000000,219340000000.0,0.35637366645390717
ABI.BR,2024-06-30,ABI.BR,78167000000,219340000000.0,0.35637366645390717
ABI.BR,2024-09-30,ABI.BR,78167000000,219340000000.0,0.35637366645390717
ABI.BR,2024-12-31,ABI.BR,78167000000,219340000000.0,0.35637366645390717
DANO.PA,2022-03-31,DANO.PA,16208000000,45420000000.0,0.35684720387494495
DANO.PA,2022-06-30,DANO.PA,16208000000,45420000000.0,0.35684720387494495
DANO.PA,2022-09-30,DANO.PA,16208000000,45420000000.0,0.35684720387494495
DANO.PA,2022-12-31,DANO.PA,16208000000,45420000000.0,0.35684720387494495
DANO.PA,2023-03-31,DANO.PA,14163000000,45281000000.0,0.31278019478368413
DANO.PA,2023-06-30,DANO.PA,14163000000,45281000000.0,0.31278019478368413
DANO.PA,2023-09-30,DANO.PA,14163000000,45281000000.0,0.31278019478368413
DANO.PA,2023-12-31,DANO.PA,14163000000,45281000000.0,0.31278019478368413
DANO.PA,2024-03-31,DANO.PA,15600000000,44486000000.0,0.3506721215663355
DANO.PA,2024-06-30,DANO.PA,15600000000,44486000000.0,0.3506721215663355
