,Unnamed: 0,practice,Company Name Full,month,Supersector,capability,pillar,cumulative_volume_per_month,p10,p20,p30,p40,p50,p60,p70,p80,p90,p100,score
2806195,2806195,TI-EIU-Cloud Computing Integration,Akzonobel,2021-05,Oil & Gas,EIU,TI,8.481031773069972,0.0,0.0,5.3149066831333425,6.23518931117259,10.2928587302213,12.819273623071275,17.09021870451374,68.78104417473982,135.255758126171,456.1648285885224,4
2806196,2806196,TI-EIU-Cloud Computing Integration,Akzonobel,2021-06,Oil & Gas,EIU,TI,4.01276034397184,0.0,0.0,0.0,0.0,13.219444118947033,29.16302218917793,83.49232083843746,107.3496890933908,266.6429205974698,488.08875808545207,4
2806197,2806197,TI-EIU-Cloud Computing Integration,Akzonobel,2021-07,Oil & Gas,EIU,TI,0.0,0.0,0.0,2.4087310860285123,12.963249968360744,18.605663011069336,58.69123621487257,76.62173756756022,143.4693439780046,167.53619852758322,374.31953326184936,0
2806198,2806198,TI-EIU-Cloud Computing Integration,Akzonobel,2021-08,Oil & Gas,EIU,TI,3.819851745564163,0.0,0.0,0.0,3.819851745564163,5.361689766466423,9.91982921974455,16.023211455745702,31.149817305862705,82.02464509277914,556.2435601465453,3
2806199,2806199,TI-EIU-Cloud Computing Integration,Akzonobel,2021-09,Oil & Gas,EIU,TI,0.0,0.0,0.0,0.0,0.0,5.586441333189633,11.57915207599842,32.173393031632486,106.71841207857324,220.43072762211497,329.45979820598916,0
2806200,2806200,TI-EIU-Cloud Computing Integration,Akzonobel,2021-10,Oil & Gas,EIU,TI,0.0,0.0,0.0,0.0,0.0,6.60276640942565,17.062263443535972,21.920930304335823,36.37773088528379,83.37319005828945,157.89890590461528,0
2806201,2806201,TI-EIU-Cloud Computing Integration,Akzonobel,2021-11,Oil & Gas,EIU,TI,0.0,0.0,0.0,2.303291515669982,5.539955500498411,9.806692592453684,18.52527253145127,19.265391058260583,25.293892853272748,78.54778163277614,268.371621417759,0
2806202,2806202,TI-EIU-Cloud Computing Integration,Akzonobel,2021-12,Oil & Gas,EIU,TI,45.450323397020256,0.0,0.0,0.0,4.909630358478085,13.449735283877978,30.641454898938676,42.33836401560363,49.99198686888065,105.02644898164031,220.57325122587537,7
2806203,2806203,TI-EIU-Cloud Computing Integration,Akzonobel,2022-01,Oil & Gas,EIU,TI,0.0,0.0,0.0,0.0,0.0,3.1210086628016187,13.732975680318528,37.16759942108097,97.8692290451761,130.0026175776283,180.99879116475725,0
2806204,2806204,TI-EIU-Cloud Computing Integration,Akzonobel,2022-02,Oil & Gas,EIU,TI,3.5098084225874304,0.0,0.0,0.0,0.0,3.241686682173184,16.77813854178894,18.68513228323469,21.078352177828393,27.439351778272854,120.71964460022784,5
2806205,2806205,TI-EIU-Cloud Computing Integration,Akzonobel,2022-03,Oil & Gas,EIU,TI,0.0,0.0,0.0,0.0,0.0,1.7660565001304018,10.92900036273663,38.52796712084249,85.00433008725572,244.8638010882377,381.68833966260576,0
2806206,2806206,TI-EIU-Cloud Computing Integration,Akzonobel,2022-04,Oil & Gas,EIU,TI,73.40600192881813,0.0,0.0,0.0,3.2898490917354533,6.850267667745903,17.754455276034392,26.00742659681395,54.784646312855955,75.90775634404149,119.17901371336546,8
2806207,2806207,TI-EIU-Cloud Computing Integration,Akzonobel,2022-05,Oil & Gas,EIU,TI,52.69097224833828,0.0,0.0,0.0,3.656434488833195,8.541514693026327,17.772255191704804,23.209921210618127,46.79190965917276,68.3388399001304,126.71865583361117,8
2806208,2806208,TI-EIU-Cloud Computing Integration,Akzonobel,2022-06,Oil & Gas,EIU,TI,20.728055631262215,0.0,0.0,1.4978661367769952,3.5045118608005836,7.2634390231155,12.633445834531782,30.56701543495944,48.81118160365265,71.87604744009035,184.9543574859016,6
2806209,2806209,TI-EIU-Cloud Computing Integration,Akzonobel,2022-07,Oil & Gas,EIU,TI,0.0,0.0,0.0,0.0,0.0,0.0,14.076463637976296,26.308334860236357,35.8308583710832,91.06756678529852,163.25210397040289,0
2806210,2806210,TI-EIU-Cloud Computing Integration,Akzonobel,2022-08,Oil & Gas,EIU,TI,5.741763784864087,0.0,0.0,0.0,0.0,3.374520124116516,5.741763784864087,19.742196666250457,54.900587085746146,85.93915071792705,149.27023799465528,5
2806211,2806211,TI-EIU-Cloud Computing Integration,Akzonobel,2022-09,Oil & Gas,EIU,TI,5.612348521087947,0.0,0.0,1.7036233930227884,5.612348521087947,10.763778580094954,15.477527500399187,21.885148221322567,32.32378640480071,93.29773649690176,152.9184157416905,3
2806212,2806212,TI-EIU-Cloud Computing Integration,Akzonobel,2022-10,Oil & Gas,EIU,TI,0.0,0.0,0.0,0.0,3.7052769174199462,10.39783351654447,26.536905060551156,50.50105725432847,67.43698795827375,104.05015180279764,166.18638565894707,0
2806213,2806213,TI-EIU-Cloud Computing Integration,Akzonobel,2022-11,Oil & Gas,EIU,TI,27.24616421515912,0.0,0.0,0.0,0.0,7.124494016319501,27.24616421515912,32.45226737087151,96.3620223248058,129.77943664156376,148.41569599904648,5
2806214,2806214,TI-EIU-Cloud Computing Integration,Akzonobel,2022-12,Oil & Gas,EIU,TI,25.81036210768378,0.0,0.0,0.0,3.432947605109785,10.431945693987622,18.051517366503887,27.179428666348674,31.8286226741145,78.11860040330885,264.0491778226902,6
2806215,2806215,TI-EIU-Cloud Computing Integration,Akzonobel,2023-01,Oil & Gas,EIU,TI,3.67252994883256,0.0,0.0,0.0,3.67252994883256,5.460179421424199,10.651891731782662,35.723939539228,65.51430349343937,103.55922670818626,170.08080380676327,3
2806216,2806216,TI-EIU-Cloud Computing Integration,Akzonobel,2023-02,Oil & Gas,EIU,TI,11.358572387261043,0.0,0.0,0.0,3.7851032480662834,4.646899761114025,10.511657877512375,11.013202732314472,22.96463701795256,62.44577005388927,228.14570504102352,7
2806217,2806217,TI-EIU-Cloud Computing Integration,Akzonobel,2023-03,Oil & Gas,EIU,TI,21.40682292649026,0.0,0.0,0.0,7.230768932761204,10.44936697499055,12.782036556018769,27.38056861525559,34.430454048348025,61.335107210583345,312.1168796032724,6
2806218,2806218,TI-EIU-Cloud Computing Integration,Akzonobel,2023-04,Oil & Gas,EIU,TI,0.0,0.0,0.0,0.0,0.0,6.949409766772048,12.38889124274513,17.67240672062068,40.29323855317247,237.28448835393257,565.391319205318,0
2806219,2806219,TI-EIU-Cloud Computing Integration,Akzonobel,2023-05,Oil & Gas,EIU,TI,0.0,0.0,0.0,0.0,0.0,9.709678582213472,41.6836088155663,45.36450099557902,64.44118476820728,100.60852501790592,238.86006273757457,0
2806220,2806220,TI-EIU-Cloud Computing Integration,Akzonobel,2023-06,Oil & Gas,EIU,TI,0.0,0.0,0.0,1.91930272550228,4.626542452309346,5.232296880297128,18.2285659964881,29.03008802602268,57.47899030137671,98.8792800592773,219.25997448970537,0
2806221,2806221,TI-EIU-Cloud Computing Integration,Akzonobel,2023-07,Oil & Gas,EIU,TI,0.0,0.0,0.0,0.0,4.827494504184673,12.12136203566244,21.14954495477548,30.644045631299825,36.73828858680342,127.57270242642348,422.6425808652441,0
2806222,2806222,TI-EIU-Cloud Computing Integration,Akzonobel,2023-08,Oil & Gas,EIU,TI,0.0,0.0,0.0,0.0,0.0,2.5311670022866912,44.62671170803379,99.86802654560182,130.91104907074873,142.45666947880292,226.54961246076837,0
